county_name,state_name,age_pct_65_older,age_pct_under_18,age_pct_under_5,edu_bachelors_pct,edu_hs_or_higher_pct,employment_nonemployer_estab,ethnicity_native_pct,ethnicity_asian_pct,ethnicity_black_pct,ethnicity_hispanic_pct,ethnicity_pacific_islander_pct,ethnicity_two_or_more_pct,ethnicity_white_pct,Ethnicities.White Alone	  not Hispanic or Latino,housing_homeownership_pct,housing_households,housing_units,housing_median_value,housing_persons_per_hh,income_median_household,income_per_capita,misc_foreign_born_pct,misc_land_area_sqmi,misc_lang_noneng_pct,misc_same_house_1yr_pct,misc_manuf_shipments,misc_mean_travel_time_min,misc_pct_female,misc_veterans,population_2020,population_2010,population_density,sales_food_services,sales_retail,firms_total,firms_women_owned,firms_men_owned,firms_minority_owned,firms_nonminority_owned,firms_veteran_owned,firms_nonveteran_owned,county_clean
Jackson County,KY,18.1,22.4,6.2,13.8,74.6,891.0,0.2,0.1,0.3,0.9,0.0,0.7,98.6,97.8,75.2,5484,6643.0,87200.0,2.42,32138,18560,0.0,345.2,1.2,93.3,559741.0,35.0,50.2,436.0,12955,13494,39.1,2161.0,45718.0,945,334,547,0,912,71,854,Jackson
Jackson County,MI,18.3,21.3,5.7,22.2,90.8,9115.0,0.4,0.9,8.1,3.6,0.1,2.8,87.6,84.6,73.5,61805,69807.0,131600.0,2.41,53658,28364,1.9,701.67,3.1,85.8,2621283.0,23.0,48.9,10028.0,160366,160248,228.4,201541.0,1841695.0,10816,3973,5502,934,9459,1152,9200,Jackson
Jackson County,MN,23.1,21.4,5.5,22.6,92.7,806.0,0.5,1.7,0.8,4.2,0.1,1.7,95.2,91.7,81.0,4419,5077.0,124900.0,2.23,58727,34325,3.3,702.98,5.4,88.1,763107.0,16.8,48.6,703.0,9989,10266,14.6,8748.0,85167.0,1009,178,463,0,935,127,778,Jackson
Jackson County,MO,15.4,23.4,6.4,31.6,90.6,47652.0,0.6,2.0,23.7,9.2,0.3,3.2,70.2,62.2,58.2,286601,328271.0,147400.0,2.39,55134,31480,6.0,604.46,9.4,85.3,10193451.0,23.7,51.6,40748.0,717204,674158,1115.3,1648957.0,9164909.0,56661,19935,29247,11727,42499,5200,47872,Jackson
Jackson County,MS,16.3,23.1,5.7,21.1,88.7,9626.0,0.5,2.4,21.7,6.8,0.1,2.1,73.3,67.4,69.8,52423,62784.0,135900.0,2.69,51657,27141,3.8,722.75,6.7,87.5,483799.0,24.5,50.9,12384.0,143252,139668,193.2,26152.0,1220485.0,10223,4648,4796,2851,7085,1401,8433,Jackson
Jackson County,NC,19.9,16.4,4.4,30.4,89.4,3200.0,9.1,1.1,2.4,6.2,0.0,2.2,85.2,80.6,64.3,16773,27832.0,196100.0,2.33,47252,25347,3.6,490.76,6.1,82.2,64546.0,20.2,50.8,3112.0,43109,40271,82.1,548517.0,403657.0,3461,977,2050,286,3064,590,2592,Jackson
Jackson County,OH,17.6,23.9,6.6,14.5,83.5,1538.0,0.4,0.3,0.7,1.1,0.0,1.7,96.8,95.8,69.2,12780,14958.0,97400.0,2.51,47550,23254,0.8,420.3,3.7,89.9,2276097.0,26.3,50.9,1799.0,32653,33225,79.0,35780.0,339514.0,2101,804,980,54,1927,141,1803,Jackson
Jackson County,OK,15.2,24.9,7.3,23.3,85.1,1402.0,2.9,1.6,7.9,25.2,0.4,4.4,82.9,61.4,58.5,9762,12135.0,106500.0,2.5,49703,25555,5.5,802.65,15.7,76.9,225644.0,15.2,50.3,2522.0,24785,26446,32.9,41972.0,358312.0,1892,502,892,216,1530,207,1397,Jackson
Jackson County,OR,22.6,20.4,5.4,27.8,90.1,17655.0,1.6,1.6,1.0,13.5,0.4,3.6,91.8,80.1,63.2,88241,97266.0,280300.0,2.41,53412,30250,6.2,2783.55,10.3,82.5,1624646.0,18.9,51.1,18404.0,223259,203206,73.0,382194.0,3202715.0,20226,7335,9589,2185,17279,1970,16912,Jackson
Jackson County,SD,13.5,34.8,11.2,17.8,82.4,195.0,53.3,0.1,1.0,4.0,0.0,5.1,40.4,39.3,58.3,858,1212.0,52500.0,3.66,33295,13528,0.7,1863.91,12.8,92.9,109693.0,14.2,49.9,135.0,2806,3031,1.6,4464.0,33612.0,168,81,69,0,138,0,147,Jackson
Jackson County,TN,22.9,17.8,4.6,11.0,78.2,776.0,0.7,0.1,0.6,2.2,0.0,1.4,97.1,95.1,77.1,4566,5933.0,126100.0,2.51,35207,21037,1.1,308.32,2.4,91.6,674991.0,30.7,50.0,794.0,11617,11638,37.7,40960.0,30904.0,705,233,456,0,687,109,583,Jackson
Jackson County,TX,18.4,25.4,7.1,16.5,82.4,1128.0,0.9,1.1,6.7,33.5,0.0,1.9,89.3,57.9,69.6,4917,6794.0,114000.0,2.97,62806,27051,9.7,829.44,22.2,86.6,575658.0,27.8,50.2,690.0,14988,14075,17.0,11939.0,165640.0,846,210,354,174,603,56,669,Jackson
Jackson County,WI,19.3,21.8,5.8,14.6,89.9,1152.0,6.8,0.5,2.2,3.7,0.1,1.9,88.5,85.9,73.9,8199,9998.0,135900.0,2.36,53650,26481,2.2,987.72,6.9,87.7,499458.0,22.5,46.5,1553.0,21145,20449,20.7,27914.0,327506.0,1389,446,504,44,1297,97,1155,Jackson
Jackson County,WV,20.9,21.2,5.2,17.4,88.3,1405.0,0.3,0.3,0.6,1.0,0.0,1.1,97.7,96.8,76.7,11334,13411.0,130600.0,2.53,47837,25341,0.9,464.35,1.0,92.0,258272.0,28.6,50.3,1995.0,27791,29211,62.9,39050.0,348152.0,1817,682,779,0,1724,141,1532,Jackson
Jackson Parish,LA,20.6,21.6,5.3,14.0,80.6,878.0,0.4,0.4,28.3,1.8,0.0,1.7,69.2,67.7,71.0,5971,7957.0,89500.0,2.45,39139,21594,1.7,569.18,2.5,86.8,1901186.0,31.2,48.6,1032.0,15031,16274,28.6,61451.5,128115.0,892,325,372,130,724,142,675,Jackson
James City County,VA,25.8,19.7,4.9,50.4,95.1,5800.0,0.4,2.6,13.6,6.1,0.1,2.9,80.3,75.3,76.4,28920,34135.0,340500.0,2.55,87678,44495,6.7,142.44,8.0,86.1,1621349.0,25.8,51.7,9601.0,78254,67009,470.4,264102.0,630200.0,6439,2327,3246,827,5294,1070,4899,James City
Jasper County,GA,17.7,23.2,5.6,14.2,82.8,1177.0,0.5,0.3,19.5,4.1,0.0,1.8,77.9,74.7,76.8,5171,6578.0,139400.0,2.67,51250,22814,2.4,368.17,3.7,90.1,84046.0,31.9,50.9,871.0,14588,13900,37.8,5792.0,47648.0,989,335,602,177,781,104,857,Jasper
Jasper County,IA,19.5,22.1,5.7,18.8,93.9,2287.0,0.4,0.6,2.3,2.8,0.1,1.2,95.3,92.9,74.5,14574,16391.0,134200.0,2.42,58952,28604,1.6,730.42,3.2,86.0,306266.0,22.8,48.9,2387.0,37813,36842,50.4,33644.0,355361.0,2857,1047,1365,51,2673,305,2338,Jasper
Jasper County,IL,19.8,23.2,6.3,16.6,89.8,819.0,0.2,0.3,0.3,1.8,0.0,0.8,98.3,96.6,78.9,3711,4343.0,99500.0,2.57,54256,25849,0.9,494.51,2.8,91.8,101616.0,24.8,49.9,420.0,9287,9698,19.6,4427.0,73336.0,788,261,367,48,707,64,697,Jasper
Jasper County,IN,18.1,23.1,5.7,14.3,88.2,1890.0,0.4,0.5,0.9,6.2,0.0,1.2,97.0,91.3,76.6,12533,13713.0,159700.0,2.6,63892,28240,2.8,559.63,5.0,88.6,650409.0,28.1,50.3,2176.0,32918,33478,59.8,34465.0,572093.0,2629,685,1449,70,2482,253,2152,Jasper
Jasper County,MO,16.0,24.7,6.6,23.6,86.7,7000.0,1.9,1.3,2.3,8.5,0.5,3.3,90.7,83.6,63.6,45759,52262.0,118400.0,2.57,48357,24484,4.4,638.49,7.6,86.0,3558817.0,17.9,51.1,7048.0,122761,117404,183.9,214397.0,1987507.0,8715,2404,4287,495,7636,824,7068,Jasper
Jasper County,MS,20.7,22.3,5.9,15.1,84.2,1062.0,0.3,0.1,53.2,1.4,0.0,0.8,45.5,44.6,85.0,6629,8490.0,79000.0,2.48,35872,22523,0.3,676.24,0.4,93.7,327723.0,34.6,51.6,1077.0,16367,17062,25.2,26152.0,73006.0,1151,356,664,380,745,117,963,Jasper
Jasper County,SC,20.1,19.8,6.0,17.8,81.8,2000.0,0.8,0.9,40.8,13.9,0.1,1.6,55.8,43.8,71.7,10269,12525.0,166200.0,2.74,45601,24566,9.2,655.32,13.0,86.1,46243.0,31.1,49.7,2628.0,28791,24777,37.8,32320.0,574808.0,1929,699,1009,756,1075,174,1603,Jasper
Jasper County,TX,20.2,23.8,6.2,12.9,85.0,2501.0,0.8,0.6,16.0,6.8,0.1,1.6,81.0,74.9,77.6,12936,17426.0,100900.0,2.67,44370,25269,2.8,938.85,6.6,87.7,771198.0,31.5,50.5,2001.0,32980,35710,38.0,31709.0,425739.0,2304,944,1098,610,1591,185,1982,Jasper
Jay County,IN,18.5,25.2,7.0,11.4,88.0,1355.0,0.2,0.4,0.5,3.2,0.0,1.2,97.6,94.6,73.0,8174,9258.0,91400.0,2.52,47658,23443,1.4,383.91,4.1,87.4,1059206.0,20.6,50.0,1100.0,20478,21253,55.4,19902.0,136874.0,1532,427,833,71,1371,106,1288,Jay
Jeff Davis County,GA,16.1,26.1,6.6,10.3,79.3,938.0,0.8,0.8,15.3,12.8,0.1,1.3,81.7,70.4,65.1,5279,6543.0,79800.0,2.82,36669,17833,3.5,330.74,7.4,92.1,303990.0,23.0,50.6,707.0,14779,15068,45.6,10795.0,251915.0,1169,449,613,235,902,82,1033,Jeff Davis
Jeff Davis County,TX,35.7,6.8,1.3,30.5,78.9,280.0,1.5,1.5,1.3,32.3,0.1,2.1,93.5,62.9,81.6,1054,1653.0,111900.0,2.07,53088,26531,20.9,2264.56,43.0,90.7,575658.0,20.0,48.8,215.0,1996,2342,1.0,8870.0,7896.0,189,70,103,48,128,42,137,Jeff Davis
Jefferson County,AL,16.3,22.8,6.4,33.4,90.1,50156.0,0.3,1.8,43.5,4.1,0.1,1.3,53.1,49.5,62.7,261231,309697.0,159100.0,2.47,53901,32098,4.1,1111.28,5.8,84.1,10951810.0,24.3,52.7,36789.0,674721,658466,592.5,1461142.0,10154005.0,57590,21298,30937,19911,35268,6086,48182,Jefferson
Jefferson County,AR,18.0,21.7,5.9,18.0,86.1,3601.0,0.4,0.9,57.4,2.2,0.1,1.4,39.8,38.3,62.1,26801,33394.0,83500.0,2.36,40726,21472,1.6,870.75,4.0,85.7,2113636.0,20.1,50.6,4205.0,67260,77435,88.9,17679.0,843899.0,4655,1849,2299,2235,2204,674,3716,Jefferson
